run_id,total_violations,final10_nav_reward,final10_safe_reward,final_h_value,mean_h,mean_m_dir,mean_grad_dot,mean_stability_grad_norm,runtime_sec
18,10780,-187.19955938267682,-7.685296362638473,-0.7360272530466319,0.4108287725639343,0.4532599350248723,-63.683278985236356,6.6571004432349685,1160.5081543922424
19,4801,-130.34510997521446,-4.8414470732212065,0.7341325525194407,0.7489773565602302,0.8366785125878321,-4.052367967033805,3.6613195568790884,1142.296305179596
20,8304,-133.3920369283691,-6.128182375431061,-0.20342604964971542,0.5137287928664684,0.4088448277341589,-90.05319978733213,10.005739406479556,1212.619999885559
21,4477,-163.78054607996418,-3.5558998465538023,0.7869628353044391,0.751109712934494,0.30027949377831403,-2.164970990299507,3.0101486168177143,1223.7634410858154
22,7867,-180.19318969079492,-9.291352540254593,-0.10899642389267683,0.5619340819907188,1.01995058795615,-25.70079570700835,6.9780544219734955,1203.7241039276123
23,7012,-138.96173388140204,-7.7868243932724,0.13134306780993937,0.6150875066709518,0.4862818128426745,-20.667889552071774,6.088456173517337,1132.054770231247
24,5773,-170.70748424684973,-3.7005737245082857,0.4373431881889701,0.7082590530312062,0.37620101049814375,-15.39794761327159,4.925976355031358,1130.701248407364
25,4662,-131.9107355421135,-1.5098682820796967,0.8260513676330448,0.7563263265311718,0.35675773090804985,-5.885772514520238,4.43818593622228,1137.0688784122467
26,6160,-253.44721989707782,-7.022679257392883,0.4156505763530731,0.6809630339396,0.2892841000205503,-30.890618899140254,5.883666221161393,1150.8495922088623
27,10235,-899.488735140027,-23.343371999263763,-0.5247896989807487,0.46942123003840447,0.30373440900846227,-107.75022504157266,9.710919770008076,1175.1187388896942
28,8532,-135.6883219891469,-4.32732452750206,-0.26057256776839494,0.5638094582927227,0.35973037661234314,-44.382406796740064,6.6183726784700285,1182.4030225276947
29,9627,-349.3887703524959,-4.9091274559497835,-0.426189037412405,0.5153650556397438,0.2986990514440548,-115.73889970555601,8.183324675471665,1191.1180033683777
30,4720,-190.88507571314727,-6.9343980848789215,0.7200714392587543,0.7474456603264809,0.37395235714499964,-2.542681858042152,3.1047865395461343,1169.9283440113068
31,10444,-193.5515742696273,-8.03492192029953,-0.5698445774614811,0.4497406570005417,-0.04872081507514506,-60.18213400818838,8.021900927149934,1193.4650752544403
32,5473,-182.40407862582833,-4.195879817008972,0.633077591471374,0.7133246763741972,0.3832316007316329,-11.462091668418218,5.560822566551833,1232.57430434227
33,8981,-180.50930560235156,-6.650928968191147,-0.4223194448277354,0.49847260574936864,1.3834365097688348,-158.91550183074665,11.793878762765194,1222.9216678142548
34,5033,-159.25165843303728,-5.1830612301826475,0.6890794483944773,0.7399659194028377,-0.44088236606363784,-10.849768816682849,5.654177953734956,1292.1318695545197
35,7730,-116.88494998195809,-5.723412609100341,-0.07247853800654411,0.5838456188583373,3.703221427304236,-39.58801675764396,8.314872202400057,893.677042722702
36,7079,-227.40095644899634,-13.015086853504181,0.12607654202729462,0.6532767298591137,0.32203521412727265,-40.44215309556761,6.7641066528726626,874.6595547199249
37,6666,-175.3236365106798,-6.6928705155849455,0.3031795281916857,0.6692810343146324,0.5499856720239379,-38.145448944967285,5.39801385216247,906.3878657817841
38,18608,-497.6366886302917,-33.79922142624855,-1.5366663679480552,-0.024843107905387886,0.2681380392320298,-122.72274741539307,9.331461534292094,870.095287322998
39,10247,-123.19083633746523,-6.025378775596619,-0.5662110134959221,0.4838491297113895,0.5060216268256117,-23.461470536580524,6.755827564817953,870.2296166419983
40,7308,-369.0224931889169,-7.979228335618973,0.128014019690454,0.6333736040079593,0.22063798763392836,-54.495718953408606,5.604146375579483,867.4107205867767
41,7514,-233.74424328261884,-3.5392264664173125,0.04020156767219305,0.639878738117218,0.37457797884003896,-34.43262911402331,6.383752571659059,869.4658563137054
42,13739,-161.0782959774683,-9.380895054340362,-1.225922141969204,0.22724709666252135,0.3506437162230936,-23.36929121515051,7.07911155133021,870.4442272186279
43,7359,-258.9089598884792,-12.314683490991593,0.07782392986118794,0.6527134037697315,0.6008484699687338,-15.025761212211167,5.080799689604711,868.0895187854767
44,7565,-530.030090473749,-3.9255695104599,0.022593699023127557,0.5956055142188073,-0.05269182475254525,-21.266977377695035,5.2427862519955095,868.5246365070343
45,6839,-224.4099448751776,-6.349116069078446,0.20671724081039428,0.6681894989514351,0.45485400721043506,-18.335710331866487,5.6841847722339995,870.1677103042603
46,6940,-146.26328258877362,-6.507933986186981,0.10413788221776485,0.6205754486238957,0.446123452619046,-21.694320303307425,5.7251286741027085,871.8319892883301
47,8581,-173.71407007746586,-3.915913873910904,-0.18918125350028275,0.5385039481174945,0.0749049860709898,-51.44233365689528,7.737565675573804,870.0423398017883
48,7030,-379.31612904128565,-5.881571960449219,0.1638680947944522,0.6496499256360531,0.568923957095815,-36.23615108214481,5.908565478664962,895.6246633529663
49,12996,-705.5868540959107,-47.00372567772865,-1.0930350095033645,0.3044250748360157,0.3138135065203381,-145.38036162913147,9.81882881658319,872.6177525520325
50,8299,-184.80709206159034,-6.134527564048767,-0.2180530397221446,0.5704195153284072,0.8268284129900036,-76.41893865881691,8.078752051175233,869.5285363197327
51,7022,-400.1575864256717,-5.607116115093231,0.19318694062530994,0.6092747703897953,0.3690413908213368,-33.33637270943919,5.764466450848358,1149.226004600525
52,7007,-621.8504522786474,-8.741516852378846,0.17130537405610086,0.6353832205677032,0.35862597112101213,-27.385891295258247,6.647551600975623,1713.682538509369
53,8860,-172.4126341270557,-7.581000781059265,-0.3461183160543442,0.5470417768073083,0.3005672312640833,-59.666799050759934,7.16971808437956,1704.1905889511108
54,4613,-188.073909947816,-6.230354726314545,0.8212473288178443,0.751004970537424,1135.6163846821548,-4.780527345212468,4.23756418874057,1595.839162349701
55,20537,-740.9644139092936,-57.877296417951584,-1.7635967224836349,-0.13032629913926125,0.26732751237841956,-264.5034203768766,12.226930734397264,867.7839419841766
56,11300,-174.31755385550144,-5.493109905719757,-0.9544940192252398,0.40203596931457525,0.2515530389514285,-130.79256862069968,9.063800587382833,868.1298768520355
57,8427,-157.36719755583943,-5.392833185195923,-0.186862856708467,0.5541361382997035,1.2331051443348513,-61.09871922857788,7.5848282733442405,906.5258753299713
58,16188,-767.9753988311115,-53.352176398038864,-1.4654687747359276,0.12886188075065616,0.3076002714243083,-218.05750116509543,11.195380232748523,868.5665781497955
59,8243,-147.4921017384951,-5.641179752349854,-0.16376832518726586,0.5486906248509883,-1.8683096507680916,-23.315545660074363,5.654537562687893,869.5422868728638
60,5518,-218.056477943502,-7.111899864673615,0.5665046725422144,0.6921147792911531,6.855931259641206,-12.898392516175265,5.450792880839872,871.1851305961609
61,8817,-856.0299185476213,-7.885330533981323,-0.3414563678205013,0.554225752632618,0.29560646324139295,-90.3266874850133,9.916542602261085,870.1800239086151
62,7666,-177.05888107849825,-6.108412247896195,-0.02660580687224865,0.5937018233883381,0.18069233139673144,-96.31947225642067,8.631687212148606,889.8153355121613
63,7392,-552.0572140214223,-3.575481253862381,0.06832626853138209,0.6266205971598626,0.12106794258348627,-54.950413448765595,7.596834682654009,868.2623822689056
64,8039,-196.07549437170005,-9.035643130540848,-0.17761950548738242,0.5928287780117988,0.31467864178137234,-24.443842982863686,4.563663774910786,867.3982808589935
65,10138,-945.0312816502177,-9.660359561443329,-0.7221639838069678,0.4595939563250542,0.007922242063837615,-79.8925044784806,9.555725617307743,868.065388917923
66,3796,-85.5517041545115,-3.0005280494689943,0.902844150736928,0.794093124744892,0.8375768799658772,-2.156844289873937,3.134150974687542,868.4903697967529
67,6316,-174.54043319409737,-7.893467301130295,0.4048631386831403,0.6536880914127826,0.37979972311815446,-29.374811063491936,8.665697470425656,870.3239154815674
68,7516,-226.79984086853042,-7.723113733530044,0.022789342887699605,0.616324657098055,0.44798404440989825,-43.663635174265515,7.725710008649496,866.8492386341095
69,6377,-158.27968769699757,-8.932373666763306,0.32268807366490365,0.6709778877067565,0.938004689790581,-12.140466499757185,4.569110289260874,869.5653665065765
